elapsed_s,phase,arms_ma,head_ma,total_ma
1.637,simultaneous_pose,117.0,0.0,117.0
1.64,simultaneous_pose,110.5,0.0,110.5
1.642,simultaneous_pose,130.0,0.0,130.0
1.645,simultaneous_pose,117.0,0.0,117.0
1.648,simultaneous_pose,123.5,0.0,123.5
1.65,simultaneous_pose,123.5,0.0,123.5
1.653,simultaneous_pose,136.5,0.0,136.5
1.656,simultaneous_pose,136.5,0.0,136.5
1.658,simultaneous_pose,130.0,0.0,130.0
1.661,simultaneous_pose,123.5,0.0,123.5
1.663,simultaneous_pose,110.5,0.0,110.5
1.666,simultaneous_pose,136.5,0.0,136.5
1.669,simultaneous_pose,130.0,0.0,130.0
1.671,simultaneous_pose,130.0,0.0,130.0
1.674,simultaneous_pose,130.0,0.0,130.0
1.677,simultaneous_pose,123.5,0.0,123.5
1.679,simultaneous_pose,130.0,0.0,130.0
1.682,simultaneous_pose,117.0,0.0,117.0
1.684,simultaneous_pose,123.5,0.0,123.5
1.687,simultaneous_pose,130.0,0.0,130.0
1.69,simultaneous_pose,117.0,0.0,117.0
1.692,simultaneous_pose,136.5,0.0,136.5
1.695,simultaneous_pose,123.5,0.0,123.5
1.697,simultaneous_pose,136.5,0.0,136.5
1.7,simultaneous_pose,136.5,6.5,143.0
1.702,simultaneous_pose,110.5,0.0,110.5
1.705,simultaneous_pose,130.0,0.0,130.0
1.708,simultaneous_pose,130.0,0.0,130.0
1.71,simultaneous_pose,143.0,0.0,143.0
1.713,simultaneous_pose,149.5,6.5,156.0
1.716,simultaneous_pose,156.0,0.0,156.0
1.718,simultaneous_pose,123.5,0.0,123.5
1.721,simultaneous_pose,110.5,0.0,110.5
1.723,simultaneous_pose,136.5,6.5,143.0
1.726,simultaneous_pose,130.0,0.0,130.0
1.728,simultaneous_pose,136.5,0.0,136.5
1.731,simultaneous_pose,117.0,0.0,117.0
1.734,simultaneous_pose,123.5,0.0,123.5
1.736,simultaneous_pose,136.5,0.0,136.5
1.739,simultaneous_pose,104.0,6.5,110.5
1.741,simultaneous_pose,130.0,0.0,130.0
1.744,simultaneous_pose,130.0,0.0,130.0
1.746,simultaneous_pose,123.5,0.0,123.5
1.749,simultaneous_pose,123.5,6.5,130.0
1.752,simultaneous_pose,97.5,0.0,97.5
1.754,simultaneous_pose,110.5,0.0,110.5
1.757,simultaneous_pose,136.5,0.0,136.5
1.759,simultaneous_pose,117.0,0.0,117.0
1.762,simultaneous_pose,104.0,0.0,104.0
1.764,simultaneous_pose,123.5,0.0,123.5
1.767,simultaneous_pose,104.0,0.0,104.0
1.769,simultaneous_pose,130.0,0.0,130.0
1.772,simultaneous_pose,130.0,0.0,130.0
1.775,simultaneous_pose,117.0,0.0,117.0
1.777,simultaneous_pose,110.5,0.0,110.5
1.78,simultaneous_pose,130.0,0.0,130.0
1.782,simultaneous_pose,117.0,0.0,117.0
1.785,simultaneous_pose,130.0,0.0,130.0
1.788,simultaneous_pose,136.5,0.0,136.5
1.79,simultaneous_pose,130.0,0.0,130.0
1.793,simultaneous_pose,123.5,0.0,123.5
1.795,simultaneous_pose,123.5,0.0,123.5
1.798,simultaneous_pose,130.0,0.0,130.0
1.801,simultaneous_pose,130.0,6.5,136.5
1.803,simultaneous_pose,136.5,0.0,136.5
1.806,simultaneous_pose,117.0,0.0,117.0
1.809,simultaneous_pose,117.0,0.0,117.0
1.811,simultaneous_pose,136.5,0.0,136.5
1.814,simultaneous_pose,123.5,0.0,123.5
1.816,simultaneous_pose,123.5,6.5,130.0
1.819,simultaneous_pose,136.5,0.0,136.5
1.822,simultaneous_pose,117.0,0.0,117.0
1.824,simultaneous_pose,123.5,0.0,123.5
