elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
28.0043,2026-08-28T03:51:10.530650+00:00,5072,816,14,enable_right_gripper
28.0056,2026-08-28T03:51:10.531910+00:00,5072,816,14,enable_right_gripper
28.0069,2026-08-28T03:51:10.533165+00:00,5072,816,14,enable_right_gripper
28.0081,2026-08-28T03:51:10.534416+00:00,5072,816,14,enable_right_gripper
28.0095,2026-08-28T03:51:10.535827+00:00,5072,816,14,enable_right_gripper
28.0110,2026-08-28T03:51:10.537303+00:00,5072,816,14,enable_right_gripper
28.0125,2026-08-28T03:51:10.538804+00:00,5072,816,14,enable_right_gripper
28.0140,2026-08-28T03:51:10.540280+00:00,5072,816,14,enable_right_gripper
28.0154,2026-08-28T03:51:10.541748+00:00,5072,816,14,enable_right_gripper
28.0168,2026-08-28T03:51:10.543133+00:00,5072,816,14,enable_right_gripper
28.0181,2026-08-28T03:51:10.544397+00:00,5072,816,14,enable_right_gripper
28.0194,2026-08-28T03:51:10.545654+00:00,5072,816,14,enable_right_gripper
28.0206,2026-08-28T03:51:10.546908+00:00,5072,816,14,enable_right_gripper
28.0219,2026-08-28T03:51:10.548166+00:00,5072,816,14,enable_right_gripper
28.0231,2026-08-28T03:51:10.549421+00:00,5072,816,14,enable_right_gripper
28.0244,2026-08-28T03:51:10.550676+00:00,5072,816,14,enable_right_gripper
28.0257,2026-08-28T03:51:10.551992+00:00,5072,816,14,enable_right_gripper
28.0272,2026-08-28T03:51:10.553456+00:00,5072,816,14,enable_right_gripper
28.0286,2026-08-28T03:51:10.554932+00:00,5072,816,14,enable_right_gripper
28.0301,2026-08-28T03:51:10.556407+00:00,5072,816,14,enable_right_gripper
28.0316,2026-08-28T03:51:10.557873+00:00,5072,816,14,enable_right_gripper
28.0330,2026-08-28T03:51:10.559328+00:00,5072,816,14,enable_right_gripper
28.0343,2026-08-28T03:51:10.560628+00:00,5072,816,14,enable_right_gripper
28.0356,2026-08-28T03:51:10.561884+00:00,5072,816,14,enable_right_gripper
28.0368,2026-08-28T03:51:10.563138+00:00,5072,816,14,enable_right_gripper
28.0381,2026-08-28T03:51:10.564395+00:00,5072,816,14,enable_right_gripper
28.0394,2026-08-28T03:51:10.565653+00:00,5072,816,14,enable_right_gripper
28.0406,2026-08-28T03:51:10.566909+00:00,5072,816,14,enable_right_gripper
28.0419,2026-08-28T03:51:10.568164+00:00,5072,816,14,enable_right_gripper
28.0431,2026-08-28T03:51:10.569451+00:00,5072,816,14,enable_right_gripper
28.0446,2026-08-28T03:51:10.570919+00:00,5072,816,14,enable_right_gripper
28.0461,2026-08-28T03:51:10.572392+00:00,5072,816,14,enable_right_gripper
28.0476,2026-08-28T03:51:10.573856+00:00,5072,816,14,enable_right_gripper
28.0490,2026-08-28T03:51:10.575327+00:00,5072,816,14,enable_right_gripper
28.0505,2026-08-28T03:51:10.576800+00:00,5072,816,14,enable_right_gripper
28.0519,2026-08-28T03:51:10.578199+00:00,5072,816,14,enable_right_gripper
28.0532,2026-08-28T03:51:10.579495+00:00,5072,816,14,enable_right_gripper
28.0544,2026-08-28T03:51:10.580751+00:00,5072,816,14,enable_right_gripper
28.0557,2026-08-28T03:51:10.582006+00:00,5072,816,14,enable_right_gripper
28.0570,2026-08-28T03:51:10.583266+00:00,5072,816,14,enable_right_gripper
28.0582,2026-08-28T03:51:10.584524+00:00,5072,816,14,enable_right_gripper
28.0595,2026-08-28T03:51:10.585780+00:00,5072,816,14,enable_right_gripper
28.0608,2026-08-28T03:51:10.587080+00:00,5072,816,14,enable_right_gripper
28.0622,2026-08-28T03:51:10.588544+00:00,5072,816,14,enable_right_gripper
28.0637,2026-08-28T03:51:10.590015+00:00,5072,816,14,enable_right_gripper
28.0652,2026-08-28T03:51:10.591508+00:00,5072,816,14,enable_right_gripper
28.0667,2026-08-28T03:51:10.592980+00:00,5072,816,14,enable_right_gripper
28.0681,2026-08-28T03:51:10.594434+00:00,5072,816,14,enable_right_gripper
28.0695,2026-08-28T03:51:10.595762+00:00,5072,816,14,enable_right_gripper
28.0707,2026-08-28T03:51:10.597024+00:00,5072,816,14,enable_right_gripper
28.0720,2026-08-28T03:51:10.598280+00:00,5072,816,14,enable_right_gripper
28.0732,2026-08-28T03:51:10.599537+00:00,5072,816,14,enable_right_gripper
28.0745,2026-08-28T03:51:10.600793+00:00,5072,816,14,enable_right_gripper
28.0757,2026-08-28T03:51:10.602049+00:00,5072,816,14,enable_right_gripper
28.0770,2026-08-28T03:51:10.603301+00:00,5072,816,14,enable_right_gripper
28.0785,2026-08-28T03:51:10.604759+00:00,5072,816,14,enable_right_gripper
