t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
20.2484,,,6,0,0,2,2,1,1
20.2811,,,3,0,0,1,1,0,1
20.3137,,,4,0,1,1,1,0,1
20.3465,,,3,0,1,1,0,0,1
20.3817,,,3,0,1,1,1,0,0
20.4169,,,2,0,1,0,1,0,0
20.4485,,,3,0,0,1,1,0,1
20.4798,,,3,0,0,1,1,0,1
20.5135,,,4,0,1,1,1,0,1
20.5474,,,4,0,1,1,1,0,1
20.5798,,,4,0,1,1,1,0,1
20.616,,,3,0,1,0,1,1,0
20.6492,,,2,0,1,0,0,0,1
20.6829,,,1,0,0,0,1,0,0
20.7192,,,2,0,1,0,1,0,0
20.7554,,,4,0,1,1,1,1,0
20.7913,,,4,0,1,1,1,0,1
20.8254,,,5,0,1,1,2,0,1
20.8575,,,4,0,1,1,1,0,1
20.8903,,,3,0,1,0,1,0,1
20.9263,,,3,0,1,1,1,0,0
20.9587,,,4,0,1,1,2,0,0
20.9949,,,3,0,1,1,1,0,0
21.0298,,,2,0,1,0,1,0,0
21.0644,,,4,0,1,1,1,0,1
21.0958,,,4,0,1,1,1,0,1
21.1322,,,2,0,1,0,1,0,0
