elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
38.035,2026-08-05T05:59:09.491091+00:00,right_wrist_roll,2114,2112,-2,34,1,1042
38.035,2026-08-05T05:59:09.491091+00:00,right_gripper,2455,2463,8,38,1,30
38.085,2026-08-05T05:59:09.540925+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.085,2026-08-05T05:59:09.540925+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.085,2026-08-05T05:59:09.540925+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.085,2026-08-05T05:59:09.540925+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.085,2026-08-05T05:59:09.540925+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.085,2026-08-05T05:59:09.540925+00:00,left_gripper,2014,2014,0,37,0,0
38.085,2026-08-05T05:59:09.540925+00:00,right_shoulder_pan,1774,1785,11,37,0,36
38.085,2026-08-05T05:59:09.540925+00:00,right_shoulder_lift,2056,2174,118,38,25,254
38.085,2026-08-05T05:59:09.540925+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.085,2026-08-05T05:59:09.540925+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.085,2026-08-05T05:59:09.540925+00:00,right_wrist_roll,2114,2112,-2,34,1,1042
38.085,2026-08-05T05:59:09.540925+00:00,right_gripper,2455,2463,8,38,0,30
38.136,2026-08-05T05:59:09.591646+00:00,left_shoulder_pan,1857,1851,-6,37,0,1060
38.136,2026-08-05T05:59:09.591646+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.136,2026-08-05T05:59:09.591646+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.136,2026-08-05T05:59:09.591646+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.136,2026-08-05T05:59:09.591646+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.136,2026-08-05T05:59:09.591646+00:00,left_gripper,2014,2014,0,36,0,0
38.136,2026-08-05T05:59:09.591646+00:00,right_shoulder_pan,1775,1785,10,37,1,36
38.136,2026-08-05T05:59:09.591646+00:00,right_shoulder_lift,2060,2174,114,38,24,246
38.136,2026-08-05T05:59:09.591646+00:00,right_elbow_flex,2097,2134,37,37,5,88
38.136,2026-08-05T05:59:09.591646+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.136,2026-08-05T05:59:09.591646+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.136,2026-08-05T05:59:09.591646+00:00,right_gripper,2455,2463,8,38,1,30
38.186,2026-08-05T05:59:09.643544+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.186,2026-08-05T05:59:09.643544+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.186,2026-08-05T05:59:09.643544+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.186,2026-08-05T05:59:09.643544+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.186,2026-08-05T05:59:09.643544+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.186,2026-08-05T05:59:09.643544+00:00,left_gripper,2014,2014,0,37,0,0
38.186,2026-08-05T05:59:09.643544+00:00,right_shoulder_pan,1776,1785,9,37,1,34
38.186,2026-08-05T05:59:09.643544+00:00,right_shoulder_lift,2064,2174,110,38,22,238
38.186,2026-08-05T05:59:09.643544+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.186,2026-08-05T05:59:09.643544+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.186,2026-08-05T05:59:09.643544+00:00,right_wrist_roll,2114,2112,-2,34,1,1042
38.186,2026-08-05T05:59:09.643544+00:00,right_gripper,2455,2463,8,38,0,30
38.237,2026-08-05T05:59:09.692669+00:00,left_shoulder_pan,1857,1851,-6,37,0,1060
38.237,2026-08-05T05:59:09.692669+00:00,left_shoulder_lift,2389,2404,15,36,2,72
38.237,2026-08-05T05:59:09.692669+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.237,2026-08-05T05:59:09.692669+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.237,2026-08-05T05:59:09.692669+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.237,2026-08-05T05:59:09.692669+00:00,left_gripper,2014,2014,0,36,0,0
38.237,2026-08-05T05:59:09.692669+00:00,right_shoulder_pan,1777,1784,7,37,1,30
38.237,2026-08-05T05:59:09.692669+00:00,right_shoulder_lift,2067,2174,107,38,26,230
38.237,2026-08-05T05:59:09.692669+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.237,2026-08-05T05:59:09.692669+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.237,2026-08-05T05:59:09.692669+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.237,2026-08-05T05:59:09.692669+00:00,right_gripper,2455,2463,8,38,1,30
38.287,2026-08-05T05:59:09.743142+00:00,left_shoulder_pan,1857,1851,-6,37,0,1060
38.287,2026-08-05T05:59:09.743142+00:00,left_shoulder_lift,2389,2404,15,36,2,72
38.287,2026-08-05T05:59:09.743142+00:00,left_elbow_flex,1629,1643,14,35,2,68
38.287,2026-08-05T05:59:09.743142+00:00,left_wrist_flex,2169,2172,3,34,1,24
38.287,2026-08-05T05:59:09.743142+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.287,2026-08-05T05:59:09.743142+00:00,left_gripper,2014,2014,0,36,0,0
38.287,2026-08-05T05:59:09.743142+00:00,right_shoulder_pan,1779,1783,4,37,1,22
38.287,2026-08-05T05:59:09.743142+00:00,right_shoulder_lift,2071,2174,103,38,19,220
38.287,2026-08-05T05:59:09.743142+00:00,right_elbow_flex,2097,2134,37,38,4,88
38.287,2026-08-05T05:59:09.743142+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.287,2026-08-05T05:59:09.743142+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.287,2026-08-05T05:59:09.743142+00:00,right_gripper,2455,2463,8,38,0,30
38.337,2026-08-05T05:59:09.793036+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.337,2026-08-05T05:59:09.793036+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.337,2026-08-05T05:59:09.793036+00:00,left_elbow_flex,1629,1643,14,35,3,68
38.337,2026-08-05T05:59:09.793036+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.337,2026-08-05T05:59:09.793036+00:00,left_wrist_roll,1989,1987,-2,34,1,1044
38.337,2026-08-05T05:59:09.793036+00:00,left_gripper,2014,2014,0,36,0,0
38.337,2026-08-05T05:59:09.793036+00:00,right_shoulder_pan,1781,1783,2,37,1,22
38.337,2026-08-05T05:59:09.793036+00:00,right_shoulder_lift,2075,2174,99,38,18,212
38.337,2026-08-05T05:59:09.793036+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.337,2026-08-05T05:59:09.793036+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.337,2026-08-05T05:59:09.793036+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.337,2026-08-05T05:59:09.793036+00:00,right_gripper,2455,2463,8,38,1,30
38.387,2026-08-05T05:59:09.843121+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.387,2026-08-05T05:59:09.843121+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.387,2026-08-05T05:59:09.843121+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.387,2026-08-05T05:59:09.843121+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.387,2026-08-05T05:59:09.843121+00:00,left_wrist_roll,1989,1987,-2,34,1,1044
38.387,2026-08-05T05:59:09.843121+00:00,left_gripper,2014,2014,0,37,0,0
38.387,2026-08-05T05:59:09.843121+00:00,right_shoulder_pan,1783,1783,0,37,0,1042
38.387,2026-08-05T05:59:09.843121+00:00,right_shoulder_lift,2079,2174,95,38,22,204
38.387,2026-08-05T05:59:09.843121+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.387,2026-08-05T05:59:09.843121+00:00,right_wrist_flex,1976,1991,15,35,1,44
38.387,2026-08-05T05:59:09.843121+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
38.387,2026-08-05T05:59:09.843121+00:00,right_gripper,2455,2463,8,38,1,30
38.437,2026-08-05T05:59:09.893029+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.437,2026-08-05T05:59:09.893029+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.437,2026-08-05T05:59:09.893029+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.437,2026-08-05T05:59:09.893029+00:00,left_wrist_flex,2169,2172,3,35,0,24
38.437,2026-08-05T05:59:09.893029+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.437,2026-08-05T05:59:09.893029+00:00,left_gripper,2014,2014,0,37,0,0
38.437,2026-08-05T05:59:09.893029+00:00,right_shoulder_pan,1786,1783,-3,37,0,0
38.437,2026-08-05T05:59:09.893029+00:00,right_shoulder_lift,2083,2174,91,38,20,196
38.437,2026-08-05T05:59:09.893029+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.437,2026-08-05T05:59:09.893029+00:00,right_wrist_flex,1976,1991,15,35,1,44
