You have video processor config saved in `preprocessor.json` file which is deprecated. Video processor configs should be saved in their own `video_preprocessor.json` file. You can rename the file or load and save the processor back which renames it automatically. Loading from `preprocessor.json` will be removed in v5.0.
[12:40:04] Device: cuda
[12:40:04] Loading 'rlodhi/smolvla_screw_picking_5000' …
Reducing the number of VLM layers to 16 ...
[12:40:36] Policy ready on cuda (fp16)
[12:40:36] chunk_size=50, n_action_steps=50, num_steps=2
[12:40:36] resize_imgs=(512, 512)
[12:40:36] Image keys : ['observation.images.base', 'observation.images.wrist']
[12:40:36] Action dim : 6
[12:40:36] Task       : 'pick up the object and place it in the box'
[12:40:36] Camera /dev/video2 opened at 424×240
[12:40:36] SW resize   : 424×240 → 320×240

[12:40:36] Warming up for 5 steps, then benchmarking for 60s …

[12:41:26] #  135 [bench] e2e=  362.6ms  infer=  359.7ms  cap=  2.8ms
[12:41:26] #  136 [bench] e2e=  368.4ms  infer=  366.0ms  cap=  2.3ms
[12:41:26] #  137 [bench] e2e=  366.4ms  infer=  363.6ms  cap=  2.7ms
[12:41:27] #  138 [bench] e2e=  362.3ms  infer=  358.8ms  cap=  3.3ms
[12:41:27] #  139 [bench] e2e=  363.7ms  infer=  360.9ms  cap=  2.6ms
[12:41:28] #  140 [bench] e2e=  362.0ms  infer=  359.6ms  cap=  2.2ms
[12:41:28] #  141 [bench] e2e=  360.9ms  infer=  358.4ms  cap=  2.3ms
[12:41:28] #  142 [bench] e2e=  362.4ms  infer=  360.0ms  cap=  2.2ms
[12:41:29] #  143 [bench] e2e=  363.2ms  infer=  360.1ms  cap=  3.0ms
[12:41:29] #  144 [bench] e2e=  360.0ms  infer=  356.9ms  cap=  2.9ms
[12:41:29] #  145 [bench] e2e=  356.0ms  infer=  353.5ms  cap=  2.4ms

  [live] after 140 bench steps — e2e mean=362.5ms  |  max replan freq=2.76 Hz  |  max control freq=137.95 Hz (n_action_steps=50)

[12:41:30] #  146 [bench] e2e=  366.8ms  infer=  363.4ms  cap=  3.2ms
[12:41:30] #  147 [bench] e2e=  354.8ms  infer=  352.2ms  cap=  2.5ms
[12:41:30] #  148 [bench] e2e=  356.2ms  infer=  353.6ms  cap=  2.5ms
[12:41:31] #  149 [bench] e2e=  367.3ms  infer=  363.5ms  cap=  3.6ms
[12:41:31] #  150 [bench] e2e=  362.2ms  infer=  359.5ms  cap=  2.5ms
[12:41:31] #  151 [bench] e2e=  361.1ms  infer=  358.3ms  cap=  2.6ms
[12:41:32] #  152 [bench] e2e=  359.7ms  infer=  357.3ms  cap=  2.2ms
[12:41:32] #  153 [bench] e2e=  364.3ms  infer=  361.7ms  cap=  2.4ms
[12:41:33] #  154 [bench] e2e=  363.5ms  infer=  360.6ms  cap=  2.7ms
[12:41:33] #  155 [bench] e2e=  365.7ms  infer=  363.0ms  cap=  2.6ms
[12:41:33] #  156 [bench] e2e=  363.2ms  infer=  359.9ms  cap=  3.1ms
[12:41:34] #  157 [bench] e2e=  366.2ms  infer=  362.9ms  cap=  3.1ms
[12:41:34] #  158 [bench] e2e=  362.6ms  infer=  360.1ms  cap=  2.3ms
[12:41:34] #  159 [bench] e2e=  356.0ms  infer=  353.1ms  cap=  2.7ms
[12:41:35] #  160 [bench] e2e=  363.6ms  infer=  360.5ms  cap=  2.9ms
[12:41:35] #  161 [bench] e2e=  361.5ms  infer=  358.5ms  cap=  2.8ms
[12:41:35] #  162 [bench] e2e=  360.5ms  infer=  357.6ms  cap=  2.8ms
[12:41:36] #  163 [bench] e2e=  359.9ms  infer=  356.8ms  cap=  2.9ms
[12:41:36] #  164 [bench] e2e=  359.0ms  infer=  356.5ms  cap=  2.4ms
[12:41:37] #  165 [bench] e2e=  365.6ms  infer=  362.8ms  cap=  2.6ms

  [live] after 160 bench steps — e2e mean=362.4ms  |  max replan freq=2.76 Hz  |  max control freq=137.97 Hz (n_action_steps=50)

[12:41:37] #  166 [bench] e2e=  360.8ms  infer=  358.4ms  cap=  2.2ms
[12:41:37] #  167 [bench] e2e=  359.3ms  infer=  357.0ms  cap=  2.1ms
[12:41:38] #  168 [bench] e2e=  358.7ms  infer=  355.5ms  cap=  3.0ms
[12:41:38] #  169 [bench] e2e=  363.4ms  infer=  360.8ms  cap=  2.5ms
[12:41:38] #  170 [bench] e2e=  362.6ms  infer=  358.4ms  cap=  3.6ms
[12:41:39] #  171 [bench] e2e=  358.5ms  infer=  355.7ms  cap=  2.7ms

============================================================
  SmolVLA-base inference benchmark — final report
  model  : rlodhi/smolvla_screw_picking_5000
  device : cuda
  num_steps: 2
  task   : pick up the object and place it in the box
============================================================
  wall time      : 62.7s
  warmup steps   : 5
  benchmark steps: 166

  capture + preprocess:
    n      = 166
    mean   = 2.65 ms
    median = 2.65 ms
    std    = 0.56 ms
    min    = 1.46 ms
    p90    = 3.33 ms
    p95    = 3.55 ms
    p99    = 3.90 ms
    max    = 4.39 ms

  batch construction:
    n      = 166
    mean   = 0.16 ms
    median = 0.15 ms
    std    = 0.04 ms
    min    = 0.13 ms
    p90    = 0.21 ms
    p95    = 0.24 ms
    p99    = 0.25 ms
    max    = 0.48 ms

  model forward (select_action):
    n      = 166
    mean   = 359.51 ms
    median = 359.64 ms
    std    = 3.24 ms
    min    = 352.15 ms
    p90    = 363.55 ms
    p95    = 365.14 ms
    p99    = 367.04 ms
    max    = 368.16 ms

  end-to-end (capture → action):
    n      = 166
    mean   = 362.33 ms
    median = 362.26 ms
    std    = 3.28 ms
    min    = 354.83 ms
    p90    = 366.54 ms
    p95    = 367.65 ms
    p99    = 369.76 ms
    max    = 371.39 ms

  chunk_size     : 50
  n_action_steps : 50

  >> max replan frequency : 2.760 Hz  (1 / e2e latency)
  >> max control frequency: 137.994 Hz  (replan_hz × n_action_steps)
============================================================
  wrote /home/xle/xlerobot-pro/results/A2/C2_stage1/steps2_rep1.json
