t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
13.7056,,,39,0,8,19,8,4,0
13.7376,,,39,0,7,23,5,3,1
13.7739,,,33,0,8,20,0,4,1
13.8102,,,27,0,8,14,0,5,0
13.8414,,,25,0,7,13,0,4,1
13.8763,,,29,0,6,17,2,3,1
13.9125,,,30,0,7,15,1,6,1
13.9472,,,26,0,7,11,1,7,0
13.982,,,24,0,8,12,0,3,1
14.0163,,,28,0,9,18,0,1,0
14.0508,,,22,0,10,10,0,2,0
14.0828,,,20,0,8,10,0,1,1
14.1183,,,20,1,8,9,1,1,0
14.1545,,,23,0,9,8,2,3,1
14.1909,,,6,1,0,0,2,3,0
14.2272,,,7,0,1,0,1,4,1
14.2633,,,6,0,1,0,0,4,1
14.2983,,,8,0,1,1,1,4,1
14.3333,,,7,0,1,1,1,3,1
14.3693,,,9,0,1,2,1,4,1
14.4017,,,2,0,0,1,1,0,0
14.4374,,,2,0,1,0,1,0,0
14.4716,,,3,1,1,0,1,0,0
14.5041,,,3,1,1,0,1,0,0
14.5377,,,3,1,1,0,1,0,0
14.5741,,,2,0,1,0,1,0,0
14.6103,,,3,0,1,1,1,0,0
14.6446,,,3,1,1,0,1,0,0
14.6799,,,4,0,1,0,1,1,1
14.7159,,,3,0,2,0,1,0,0
14.7509,,,3,0,1,0,1,0,1
14.7872,,,4,0,1,1,1,0,1
14.8217,,,3,0,1,0,1,0,1
14.8574,,,3,0,1,0,1,0,1
14.8904,,,2,1,1,0,0,0,0
14.9256,,,3,1,1,0,1,0,0
14.9577,,,5,0,1,1,1,1,1
14.9934,,,4,0,2,1,1,0,0
15.0281,,,4,1,1,0,1,0,1
15.0632,,,13,7,1,3,2,0,0
15.099,,,94,34,20,16,21,2,1
15.132,,,90,33,17,15,21,3,1
15.167,,,54,24,9,9,8,4,0
15.1995,,,51,24,8,7,7,4,1
15.2334,,,51,23,8,7,6,6,1
15.2687,,,41,22,7,6,0,6,0
15.3011,,,45,22,8,8,0,7,0
15.336,,,48,23,7,7,2,9,0
15.3722,,,44,22,6,7,1,8,0
15.4085,,,42,23,6,4,1,8,0
15.4422,,,45,23,7,3,0,11,1
15.4777,,,38,19,5,4,1,9,0
15.5138,,,46,22,8,4,1,10,1
15.5499,,,42,22,9,1,1,8,1
15.5811,,,41,23,8,0,0,10,0
15.617,,,22,5,5,0,1,10,1
15.6482,,,23,6,7,0,1,9,0
15.6844,,,23,11,0,0,1,10,1
15.7205,,,28,14,0,2,1,11,0
15.7549,,,21,9,0,1,1,9,1
15.7885,,,20,8,0,0,0,11,1
15.8198,,,21,9,1,1,1,9,0
15.8555,,,18,6,1,1,1,9,0
15.8915,,,20,7,1,1,1,10,0
15.9277,,,18,7,0,1,1,9,0
15.9637,,,20,7,0,1,0,11,1
16.0001,,,15,7,1,1,1,4,1
16.0363,,,11,8,1,1,0,0,1
16.0696,,,10,6,1,1,1,1,0
16.1058,,,10,7,0,1,1,1,0
16.1422,,,10,7,0,1,1,1,0
16.1783,,,11,7,1,1,0,2,0
16.2096,,,10,7,0,1,1,1,0
16.2458,,,10,7,0,0,1,1,1
16.28,,,10,7,1,0,0,2,0
16.3162,,,10,6,1,0,0,2,1
16.3484,,,11,6,1,1,0,2,1
16.3847,,,11,7,0,1,0,2,1
16.4208,,,12,7,1,1,0,2,1
16.4563,,,12,6,1,1,1,2,1
16.4883,,,13,7,1,1,1,2,1
16.5236,,,12,7,1,1,0,2,1
16.5571,,,10,5,0,2,1,2,0
16.5933,,,55,4,11,25,14,0,1
16.6294,,,115,12,21,37,44,0,1
16.6632,,,68,2,11,27,25,2,1
16.6988,,,43,0,9,18,13,2,1
16.7312,,,39,0,7,23,6,2,1
16.7673,,,30,0,7,21,0,2,0
16.8029,,,30,0,8,16,0,5,1
16.8382,,,23,0,8,11,0,4,0
16.8702,,,29,0,9,13,1,5,1
16.9016,,,30,0,7,16,3,3,1
16.9363,,,27,0,9,11,1,6,0
16.9716,,,26,0,10,10,0,5,1
17.0044,,,24,0,6,15,0,2,1
17.0374,,,28,0,9,16,1,1,1
17.0688,,,22,0,7,12,1,2,0
17.1049,,,20,1,7,8,1,3,0
17.1389,,,23,0,8,9,2,3,1
17.172,,,24,0,10,8,2,3,1
17.2084,,,6,1,0,0,1,3,1
17.2409,,,6,0,0,0,1,4,1
17.2771,,,6,0,1,0,1,4,0
17.3132,,,8,1,1,0,1,4,1
17.3455,,,6,1,0,2,1,2,0
17.3798,,,7,0,1,2,1,3,0
17.4132,,,4,1,1,0,1,0,1
17.4496,,,3,0,1,1,1,0,0
17.4854,,,4,0,2,0,1,0,1
17.5216,,,6,1,2,1,1,0,1
17.5579,,,2,0,1,0,1,0,0
17.594,,,3,0,1,0,1,0,1
17.6254,,,3,1,1,0,0,0,1
17.6579,,,4,1,1,1,1,0,0
17.6941,,,7,1,2,1,1,1,1
17.7302,,,5,1,1,0,2,0,1
17.7661,,,4,1,1,0,1,0,1
17.8003,,,4,0,1,1,1,0,1
17.8364,,,5,1,1,1,1,0,1
17.8726,,,4,0,1,1,1,1,0
17.9046,,,5,1,2,1,1,0,0
17.938,,,4,1,1,1,1,0,0
17.9744,,,4,0,2,1,1,0,0
18.0064,,,5,0,1,1,1,1,1
18.0425,,,5,0,1,1,1,1,1
18.0784,,,25,10,3,8,3,0,1
18.11,,,97,37,20,18,20,2,0
18.1448,,,80,30,15,12,18,4,1
18.1809,,,49,20,9,9,7,4,0
18.2171,,,50,23,6,6,9,5,1
18.2494,,,48,21,8,7,8,4,0
18.2856,,,48,26,7,7,0,7,1
18.3216,,,46,24,8,7,0,6,1
18.3578,,,44,19,8,6,2,8,1
18.392,,,46,24,6,6,1,9,0
18.4261,,,43,24,7,2,0,10,0
18.459,,,45,22,6,4,0,12,1
18.4952,,,36,20,6,3,0,7,0
18.5309,,,45,25,8,2,1,8,1
18.5666,,,41,23,7,1,2,8,0
18.6027,,,46,28,5,1,1,10,1
18.639,,,20,4,7,0,1,8,0
18.6724,,,26,11,7,0,0,8,0
18.7081,,,24,14,0,0,0,10,0
18.7443,,,21,10,0,1,0,9,1
18.7799,,,21,8,1,1,0,11,0
18.813,,,18,7,1,0,0,10,0
18.8455,,,19,7,1,1,0,10,0
18.8811,,,19,7,1,1,1,8,1
18.9163,,,18,6,1,2,1,8,0
18.9515,,,20,8,1,1,1,9,0
18.9873,,,22,8,1,1,0,12,0
19.0218,,,11,8,1,1,0,1,0
19.0563,,,7,6,0,1,0,0,0
19.0926,,,8,7,0,0,0,0,1
19.1287,,,8,6,0,1,0,1,0
19.1611,,,10,7,0,1,0,2,0
19.1966,,,11,7,0,2,0,1,1
19.233,,,11,7,1,1,0,1,1
19.2692,,,11,7,0,1,1,1,1
19.3049,,,12,8,1,1,0,2,0
19.3364,,,10,6,1,1,0,2,0
19.3677,,,11,7,0,1,0,2,1
19.4026,,,10,7,0,1,0,2,0
19.4386,,,9,6,0,1,0,2,0
19.4715,,,10,6,0,1,0,2,1
19.5058,,,11,7,1,0,0,3,0
19.5418,,,9,6,1,1,0,1,0
19.5763,,,15,2,3,4,5,1,0
19.6101,,,76,6,16,33,20,0,1
19.6463,,,90,9,14,30,34,2,1
19.6799,,,57,0,7,24,24,2,0
19.7162,,,39,0,7,19,10,3,0
19.7515,,,38,0,9,23,4,2,0
19.7855,,,35,0,8,23,0,3,1
19.8218,,,29,0,9,16,0,4,0
19.8572,,,27,0,9,13,0,4,1
19.8934,,,26,0,7,13,3,3,0
19.9253,,,29,0,7,16,2,4,0
19.9612,,,24,0,7,9,1,6,1
19.997,,,22,0,7,10,1,4,0
20.0334,,,27,0,7,18,0,1,1
20.0696,,,22,0,7,13,1,1,0
20.1058,,,19,0,8,8,1,2,0
20.1377,,,24,1,9,10,1,3,0
20.1738,,,22,0,7,10,2,3,0
20.2062,,,4,0,0,0,1,3,0
20.2389,,,6,1,0,0,1,4,0
20.2731,,,6,0,0,0,1,4,1
20.3048,,,5,0,0,0,0,4,1
20.3385,,,10,1,1,2,1,4,1
20.3742,,,6,1,1,1,1,2,0
20.4073,,,4,0,1,1,1,0,1
20.4435,,,2,0,1,0,1,0,0
20.4764,,,3,1,1,0,1,0,0
20.5092,,,5,1,1,1,1,0,1
20.543,,,2,0,1,0,1,0,0
20.5792,,,3,1,1,0,1,0,0
20.6134,,,6,0,2,2,1,0,1
20.6452,,,3,1,1,0,1,0,0
20.6765,,,2,0,1,0,1,0,0
20.7127,,,3,1,1,0,1,0,0
20.749,,,3,0,1,0,1,0,1
20.7836,,,4,0,1,1,1,0,1
20.8189,,,3,0,1,1,1,0,0
20.8537,,,4,0,1,1,1,0,1
20.8886,,,4,1,1,1,1,0,0
20.9248,,,6,0,2,1,2,0,1
20.9563,,,4,0,2,1,1,0,0
20.9924,,,4,0,1,1,1,1,0
21.0286,,,5,1,1,1,1,0,1
